Season;Competition;Matchday;Date;Venue;Club;Opponent;Result;Playing_Position;Minute;At_score;Type;Goal_assist
04-mai;LaLiga;34;05/01/2005;H;FC Barcelona;Albacete Balompie;02:00;CF;90+1;02:00;Left-footed shot;Ronaldinho Gaacho
05-juin;UEFA Champions League;Group Stage;11/02/2005;H;FC Barcelona;Panathinaikos Athens;05:00;RW;34;03:00;Left-footed shot;
05-juin;LaLiga;13;11/27/05;H;FC Barcelona;Racing Santander;04:01;RW;51;02:00;Left-footed shot;Samuel Etoo
05-juin;LaLiga;19;1/15/06;H;FC Barcelona;Athletic Bilbao;02:01;RW;50;02:01;Left-footed shot;Mark van Bommel
05-juin;LaLiga;20;1/22/06;H;FC Barcelona;Deportivo Alaves;02:00;CF;82;02:00;Left-footed shot;Ronaldinho Gaacho
05-juin;LaLiga;21;1/29/06;A;FC Barcelona;RCD Mallorca;00:03;CF;75;00:02;Right-footed shot;Sylvinho
05-juin;LaLiga;21;1/29/06;A;FC Barcelona;RCD Mallorca;00:03;CF;83;00:03;Left-footed shot;Ronaldinho Gaacho
05-juin;Copa del Rey;Quarter-Finals;02/01/2006;H;FC Barcelona;Real Zaragoza;02:01;CF;42;01:00;Header;Ludovic Giuly
05-juin;LaLiga;24;2/18/06;H;FC Barcelona;Real Betis Balompie;05:01;RW;84;05:01;Left-footed shot;
06-juil;LaLiga;1;8/28/06;A;FC Barcelona;Celta de Vigo;02:03;LW;59;01:02;Left-footed shot;Andres Iniesta
06-juil;LaLiga;2;09/09/2006;H;FC Barcelona;CA Osasuna;03:00;RW;36;03:00;Left-footed shot;Samuel Etoo
06-juil;UEFA Champions League;Group Stage;9/27/06;A;FC Barcelona;SV Werder Bremen;01:01;RW;89;01:01;Left-footed shot;Deco
06-juil;LaLiga;6;10/15/06;H;FC Barcelona;Sevilla FC;03:01;RW;80;03:01;Right-footed shot;Xavi
06-juil;LaLiga;26;03/10/2007;H;FC Barcelona;Real Madrid;03:03;RW;11;01:01;Left-footed shot;Samuel Etoo
06-juil;LaLiga;26;03/10/2007;H;FC Barcelona;Real Madrid;03:03;RW;28;02:02;Left-footed shot;
06-juil;LaLiga;26;03/10/2007;H;FC Barcelona;Real Madrid;03:03;RW;90+1;03:03;Left-footed shot;Ronaldinho Gaacho
06-juil;LaLiga;27;3/17/07;A;FC Barcelona;Recreativo Huelva;00:04;RW;86;00:04;Left-footed shot;
06-juil;LaLiga;28;3/31/07;H;FC Barcelona;Deportivo de La Coruaa;02:01;RW;45;01:00;Left-footed shot;Ronaldinho Gaacho
06-juil;Copa del Rey;Semi-Finals;4/18/07;H;FC Barcelona;Getafe CF;05:02;RW;29;02:00;Solo run;Xavi
06-juil;Copa del Rey;Semi-Finals;4/18/07;H;FC Barcelona;Getafe CF;05:02;RW;45;03:00;Left-footed shot;Deco
06-juil;LaLiga;35;5/20/07;A;FC Barcelona;Atletico de Madrid;00:06;RW;39;00:01;Left-footed shot;Samuel Etoo
06-juil;LaLiga;35;5/20/07;A;FC Barcelona;Atletico de Madrid;00:06;RW;80;00:05;Left-footed shot;Giovanni van Bronckhorst
06-juil;LaLiga;37;06/09/2007;H;FC Barcelona;RCD Espanyol Barcelona;02:02;RW;43;01:01;;Gianluca Zambrotta
06-juil;LaLiga;37;06/09/2007;H;FC Barcelona;RCD Espanyol Barcelona;02:02;RW;57;02:01;Right-footed shot;Deco
06-juil;LaLiga;38;6/17/07;A;FC Barcelona;Gimnastic de Tarragona;01:05;RW;34;00:02;Left-footed shot;Deco
06-juil;LaLiga;38;6/17/07;A;FC Barcelona;Gimnastic de Tarragona;01:05;RW;51;00:04;Left-footed shot;Deco
07-ao�t;UEFA Champions League;Group Stage;9/19/07;H;FC Barcelona;Olympique Lyon;03:00;RW;82;02:00;Left-footed shot;Andres Iniesta
07-ao�t;LaLiga;4;9/22/07;H;FC Barcelona;Sevilla FC;02:01;RW;72;01:00;Left-footed shot;Thierry Henry
07-ao�t;LaLiga;4;9/22/07;H;FC Barcelona;Sevilla FC;02:01;RW;79;02:00;Penalty;
07-ao�t;LaLiga;5;9/26/07;H;FC Barcelona;Real Zaragoza;04:01;RW;5;01:00;Left-footed shot;Thierry Henry
07-ao�t;LaLiga;5;9/26/07;H;FC Barcelona;Real Zaragoza;04:01;RW;10;02:01;Left-footed shot;Deco
07-ao�t;LaLiga;6;9/29/07;A;FC Barcelona;Levante UD;01:04;RW;50;00:04;Left-footed shot;Deco
07-ao�t;UEFA Champions League;Group Stage;10/02/2007;A;FC Barcelona;VfB Stuttgart;00:02;RW;66;00:02;Deflected shot on goal;Thierry Henry
07-ao�t;LaLiga;7;10/07/2007;H;FC Barcelona;Atletico de Madrid;03:00;RW;19;02:00;Left-footed shot;Ronaldinho Gaacho
07-ao�t;LaLiga;9;10/28/07;H;FC Barcelona;UD Almera;02:00;RW;80;02:00;Penalty;
07-ao�t;UEFA Champions League;Group Stage;11/07/2007;H;FC Barcelona;Rangers FC;02:00;RW;41;02:00;Left-footed shot;Ronaldinho Gaacho
07-ao�t;LaLiga;13;11/24/07;H;FC Barcelona;Recreativo Huelva;03:00;RW;81;03:00;Penalty;
07-ao�t;UEFA Champions League;Group Stage;11/27/07;A;FC Barcelona;Olympique Lyon;02:02;RW;58;01:02;Penalty;
07-ao�t;UEFA Champions League;last 16;2/20/08;A;FC Barcelona;Celtic FC;02:03;RW;18;01:01;Left-footed shot;Deco
07-ao�t;UEFA Champions League;last 16;2/20/08;A;FC Barcelona;Celtic FC;02:03;RW;79;02:03;Left-footed shot;
07-ao�t;LaLiga;25;2/24/08;H;FC Barcelona;Levante UD;05:01;RW;44;02:01;Left-footed shot;Xavi
07-ao�t;LaLiga;35;05/04/2008;H;FC Barcelona;Valencia CF;06:00;RW;5;01:00;Penalty;
08-sept;LaLiga;2;9/13/08;H;FC Barcelona;Racing Santander;01:01;RW;70;01:00;Penalty;
08-sept;LaLiga;3;9/21/08;A;FC Barcelona;Sporting GijÃ³n;01:06;RW;85;01:05;Left-footed shot;Andres Iniesta
08-sept;LaLiga;3;9/21/08;A;FC Barcelona;Sporting GijÃ³n;01:06;RW;89;01:06;Header;Xavi
08-sept;LaLiga;5;9/27/08;A;FC Barcelona;RCD Espanyol Barcelona;01:02;RW;90;01:02;Penalty;
08-sept;UEFA Champions League;Group Stage;10/01/2008;A;FC Barcelona;Shakhtar Donetsk;01:02;RW;87;01:01;Right-footed shot;Bojan Krkic
08-sept;UEFA Champions League;Group Stage;10/01/2008;A;FC Barcelona;Shakhtar Donetsk;01:02;RW;90+2;01:02;Left-footed shot;Xavi
08-sept;LaLiga;6;10/04/2008;H;FC Barcelona;Atletico de Madrid;06:01;RW;8;03:00;Direct free kick;
08-sept;UEFA Champions League;Group Stage;10/22/08;A;FC Barcelona;FC Basel 1893;00:05;CF;4;00:01;Left-footed shot;Dani Alves
08-sept;LaLiga;9;11/01/2008;A;FC Barcelona;Malaga CF;01:04;RW;19;01:02;Left-footed shot;
